strain,description
1052020,Aspergillus acristatulus CBS 119.55 Annotated Standard Draft
1052338,Aspergillus affinis CBS 129190 Annotated Standard Draft
1052434,Aspergillus alabamensis IBT 12702 Annotated Standard Draft
1052224,Aspergillus albertensis IBT 14317 Annotated Standard Draft
1051954,Aspergillus allahabadii CBS 164.63 Annotated Standard Draft
1051918,Aspergillus alliaceus CBS 536.65 Annotated Standard Draft
1052440,Aspergillus ambiguus CBS 117.58 Annotated Standard Draft
1051912,Aspergillus amoenus CBS 111.32 Annotated Standard Draft
1052014,Aspergillus amylovorus CBS 600.67 Annotated Standard Draft
1188061,Aspergillus angustatus CBS 273.65 Annotated Minimal Draft
1187929,Aspergillus appendiculatus CBS 374.75 Annotated Minimal Draft
1052230,Aspergillus arachidicola CBS 117612 Annotated Standard Draft
1097610,Aspergillus arxii CBS 525.83 Annotated Minimal Draft
1097514,Aspergillus assulatus IBT 27911 Annotated Minimal Draft
1052026,Aspergillus astellatus CBS 261.93 Annotated Standard Draft
1052032,Aspergillus aurantiobrunneus CBS 465.65 Annotated Standard Draft
1188069,Aspergillus aurantiopurpureus CBS 140608 Annotated Minimal Draft
1097486,Aspergillus aureolatus CBS 190.65 Annotated Minimal Draft
1097522,Aspergillus aureoluteus CBS 105.55 Annotated Minimal Draft
1052446,Aspergillus aureoterreus CBS 503.65 Annotated Standard Draft
1188037,Aspergillus austroafricanus IBT 32289 Annotated Minimal Draft
1052236,Aspergillus avenaceus IBT 18842 Annotated Standard Draft
1052242,Aspergillus bertholletius IBT 29228 Annotated Standard Draft
1097386,Aspergillus biplanus CBS 468.65 Annotated Minimal Draft
1052008,Aspergillus bisporus CBS 707.71 Annotated Standard Draft
1097622,Aspergillus botucatensis CBS 114221 Annotated Minimal Draft
1052452,Aspergillus brevijanus CBS 111.46 Annotated Standard Draft
1097526,Aspergillus brevipes CBS 118.53 Annotated Minimal Draft
1187993,Aspergillus brevistipitatus CBS 135454 Annotated Minimal Draft
1052248,Aspergillus caelatus CBS 763.97 Annotated Standard Draft
1097490,Aspergillus caespitosus CBS 103.45 Annotated Minimal Draft
1097406,Aspergillus calidoustus CBS 113228 Annotated Minimal Draft
1097410,Aspergillus californicus CBS 123895 Annotated Minimal Draft
1097606,Aspergillus caninus CBS 128032 Annotated Minimal Draft
1097634,Aspergillus capensis CBS 138188 Annotated Minimal Draft
1187837,Aspergillus capperatus DTO 337-E6 Annotated Minimal Draft
1097414,Aspergillus carlsbadensis CBS 123894 Annotated Minimal Draft
1051966,Aspergillus cejpii CBS 157.66 Annotated Minimal Draft
1187889,Aspergillus cervinus CBS 196.64 Annotated Minimal Draft
1051972,Aspergillus chevalieri CBS 522.65 Annotated Standard Draft
1187893,Aspergillus christenseniae CBS 411.64 Annotated Minimal Draft
1097614,Aspergillus chrysellus CBS 472.65 Annotated Minimal Draft
1188133,Aspergillus cibarius DTO 197-D3 Annotated Minimal Draft
1052206,Aspergillus clavatonanicus CBS 474.65 Annotated Standard Draft
1052038,Aspergillus cleistominutus CBS 200.75 Annotated Minimal Draft
1097390,Aspergillus conjunctus CBS 476.65 Annotated Minimal Draft
1097530,Aspergillus coreanus CBS 117059 Annotated Minimal Draft
1052254,Aspergillus coremiiformis CBS 553.77 Annotated Standard Draft
1052044,Aspergillus corrugatus CBS 191.77 Annotated Minimal Draft
1187977,Aspergillus costiformis CBS 101749 Annotated Minimal Draft
1188041,Aspergillus creber IBT 32277 Annotated Minimal Draft
