name,resource_id,resource_link,project_id,project_link,folder_name,related_projects,status,release_date,contact_name,contact_mail,masked_assemblies,assembly_id_alias,annotation_id_alias,annotations
Aspergillus acristatulus CBS 119.55 Annotated Standard Draft,Aspacri1,https://mycocosm.jgi.doe.gov/Aspacri1,1052020,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspacrStandDraft_FD,AspacrStandDraft_FD,"['SP 1052022', 'SP 1052021', 'AP 1052024', 'AP 1052023', 'AP 1052025']",Complete,2014-03-25,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspacrStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspacri1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspacri1,Aspacri1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspacrStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspacri1_GeneCatalog_20160412.gff3.gz
Aspergillus affinis CBS 129190 Annotated Standard Draft,Aspaff1,https://mycocosm.jgi.doe.gov/Aspaff1,1052338,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspaffStandDraft_FD,AspaffStandDraft_FD,"['SP 1052339', 'SP 1052340', 'AP 1052343', 'AP 1052341', 'AP 1052342']",Complete,2018-12-07,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaffStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspaff1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspaff1,Aspaff1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaffStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspaff1_GeneCatalog_20181129.gff3.gz
Aspergillus alabamensis IBT 12702 Annotated Standard Draft,Aspala1,https://mycocosm.jgi.doe.gov/Aspala1,1052434,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspalaStandDraft_FD,AspalaStandDraft_FD,"['SP 1052435', 'SP 1052436', 'AP 1052437', 'AP 1052438', 'AP 1052439']",Complete,2016-10-13,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspalaStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspala1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspala1,Aspala1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspalaStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspala1_GeneCatalog_20160910.gff3.gz
Aspergillus albertensis IBT 14317 Annotated Standard Draft,Aspalbe1,https://mycocosm.jgi.doe.gov/Aspalbe1,1052224,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspalbStandDraft_FD,AspalbStandDraft_FD,"['SP 1052225', 'SP 1052226', 'AP 1052229', 'AP 1052228', 'AP 1052227']",Complete,2016-07-22,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspalbStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspalbe1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspalbe1,Aspalbe1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspalbStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspalbe1_GeneCatalog_20160720.gff3.gz
Aspergillus allahabadii CBS 164.63 Annotated Standard Draft,Aspall1,https://mycocosm.jgi.doe.gov/Aspall1,1051954,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspallStandDraft_FD,AspallStandDraft_FD,"['SP 1051956', 'SP 1051955', 'AP 1051958', 'AP 1051957', 'AP 1051959']",Complete,2016-10-13,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspallStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspall1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspall1,Aspall1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspallStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspall1_GeneCatalog_20160910.gff3.gz
Aspergillus alliaceus CBS 536.65 Annotated Standard Draft,Aspalli1,https://mycocosm.jgi.doe.gov/Aspalli1,1051918,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspallStandDraft_2_FD,AspallStandDraft_2_FD,"['SP 1051919', 'SP 1051920', 'AP 1051921', 'AP 1051922', 'AP 1051923']",Complete,2016-11-01,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspallStandDraft_2_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspalli1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspalli1,Aspalli1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspallStandDraft_2_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspalli1_GeneCatalog_20161018.gff3.gz
Aspergillus ambiguus CBS 117.58 Annotated Standard Draft,Aspamb1,https://mycocosm.jgi.doe.gov/Aspamb1,1052440,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspambStandDraft_FD,AspambStandDraft_FD,"['SP 1052442', 'SP 1052441', 'AP 1052445', 'AP 1052444', 'AP 1052443']",Complete,2016-10-13,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspambStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspamb1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspamb1,Aspamb1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspambStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspamb1_GeneCatalog_20160910.gff3.gz
Aspergillus amoenus CBS 111.32 Annotated Standard Draft,Aspamoe1,https://mycocosm.jgi.doe.gov/Aspamoe1,1051912,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspamoStandDraft_FD,AspamoStandDraft_FD,"['SP 1051913', 'SP 1051914', 'AP 1051916', 'AP 1051915', 'AP 1051917']",Complete,2014-07-25,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspamoStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspamoe1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspamoe1,Aspamoe1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspamoStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspamoe1_GeneCatalog_20160413.gff3.gz
Aspergillus amylovorus CBS 600.67 Annotated Standard Draft,Aspamy1,https://mycocosm.jgi.doe.gov/Aspamy1,1052014,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspamyStandDraft_FD,AspamyStandDraft_FD,"['SP 1052015', 'SP 1052016', 'AP 1052019', 'AP 1052017', 'AP 1052018']",Complete,2014-12-17,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspamyStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspamy1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspamy1,Aspamy1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspamyStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspamy1_GeneCatalog_20160516.gff3.gz
Aspergillus angustatus CBS 273.65 Annotated Minimal Draft,Aspang1,https://mycocosm.jgi.doe.gov/Aspang1,1188061,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspangMinimDraft_FD,AspangMinimDraft_FD,"['SP 1188307', 'SP 1188308', 'AP 1188064', 'AP 1188063', 'AP 1188062']",Complete,2021-02-26,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspangMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspang1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspang1,Aspang1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspangMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspang1_GeneCatalog_20210202.gff3.gz
