genome_id,source,genus,species,strain,description
1052020,custom,Aspergillus,acristatulus,CBS 119.55,Aspergillus acristatulus CBS 119.55 Annotated Standard Draft
1052338,custom,Aspergillus,affinis,CBS 129190,Aspergillus affinis CBS 129190 Annotated Standard Draft
1052434,custom,Aspergillus,alabamensis,IBT 12702,Aspergillus alabamensis IBT 12702 Annotated Standard Draft
1052224,custom,Aspergillus,albertensis,IBT 14317,Aspergillus albertensis IBT 14317 Annotated Standard Draft
1051954,custom,Aspergillus,allahabadii,CBS 164.63,Aspergillus allahabadii CBS 164.63 Annotated Standard Draft
1051918,custom,Aspergillus,alliaceus,CBS 536.65,Aspergillus alliaceus CBS 536.65 Annotated Standard Draft
1052440,custom,Aspergillus,ambiguus,CBS 117.58,Aspergillus ambiguus CBS 117.58 Annotated Standard Draft
1051912,custom,Aspergillus,amoenus,CBS 111.32,Aspergillus amoenus CBS 111.32 Annotated Standard Draft
1052014,custom,Aspergillus,amylovorus,CBS 600.67,Aspergillus amylovorus CBS 600.67 Annotated Standard Draft
1188061,custom,Aspergillus,angustatus,CBS 273.65,Aspergillus angustatus CBS 273.65 Annotated Minimal Draft
1187929,custom,Aspergillus,appendiculatus,CBS 374.75,Aspergillus appendiculatus CBS 374.75 Annotated Minimal Draft
1052230,custom,Aspergillus,arachidicola,CBS 117612,Aspergillus arachidicola CBS 117612 Annotated Standard Draft
1097610,custom,Aspergillus,arxii,CBS 525.83,Aspergillus arxii CBS 525.83 Annotated Minimal Draft
1097514,custom,Aspergillus,assulatus,IBT 27911,Aspergillus assulatus IBT 27911 Annotated Minimal Draft
1052026,custom,Aspergillus,astellatus,CBS 261.93,Aspergillus astellatus CBS 261.93 Annotated Standard Draft
1052032,custom,Aspergillus,aurantiobrunneus,CBS 465.65,Aspergillus aurantiobrunneus CBS 465.65 Annotated Standard Draft
1188069,custom,Aspergillus,aurantiopurpureus,CBS 140608,Aspergillus aurantiopurpureus CBS 140608 Annotated Minimal Draft
1097486,custom,Aspergillus,aureolatus,CBS 190.65,Aspergillus aureolatus CBS 190.65 Annotated Minimal Draft
1097522,custom,Aspergillus,aureoluteus,CBS 105.55,Aspergillus aureoluteus CBS 105.55 Annotated Minimal Draft
1052446,custom,Aspergillus,aureoterreus,CBS 503.65,Aspergillus aureoterreus CBS 503.65 Annotated Standard Draft
1188037,custom,Aspergillus,austroafricanus,IBT 32289,Aspergillus austroafricanus IBT 32289 Annotated Minimal Draft
1052236,custom,Aspergillus,avenaceus,IBT 18842,Aspergillus avenaceus IBT 18842 Annotated Standard Draft
1052242,custom,Aspergillus,bertholletius,IBT 29228,Aspergillus bertholletius IBT 29228 Annotated Standard Draft
1097386,custom,Aspergillus,biplanus,CBS 468.65,Aspergillus biplanus CBS 468.65 Annotated Minimal Draft
1052008,custom,Aspergillus,bisporus,CBS 707.71,Aspergillus bisporus CBS 707.71 Annotated Standard Draft
1097622,custom,Aspergillus,botucatensis,CBS 114221,Aspergillus botucatensis CBS 114221 Annotated Minimal Draft
1052452,custom,Aspergillus,brevijanus,CBS 111.46,Aspergillus brevijanus CBS 111.46 Annotated Standard Draft
1097526,custom,Aspergillus,brevipes,CBS 118.53,Aspergillus brevipes CBS 118.53 Annotated Minimal Draft
1187993,custom,Aspergillus,brevistipitatus,CBS 135454,Aspergillus brevistipitatus CBS 135454 Annotated Minimal Draft
1052248,custom,Aspergillus,caelatus,CBS 763.97,Aspergillus caelatus CBS 763.97 Annotated Standard Draft
